,Ward,Alderperson,Start Date,End Date,Party,Notes,Clean Ward,Start Year,End Year
149,8th Ward,Edward M. Burke,"March 14, 1969",Present,Democratic,,8,1969,
154,9th Ward,Edward M. Burke,"March 14, 1969",Present,Democratic,,9,1969,
159,10th Ward,Edward M. Burke,"March 14, 1969",Present,Democratic,,10,1969,
164,11th Ward,Edward M. Burke,"March 14, 1969",Present,Democratic,,11,1969,
169,12th Ward,Edward M. Burke,"March 14, 1969",Present,Democratic,,12,1969,
174,13th Ward,Edward M. Burke,"March 14, 1969",Present,Democratic,,13,1969,
179,14th Ward,Edward M. Burke,"March 14, 1969",Present,Democratic,,14,1969,
188,15th Ward,Matthew O'Shea,2011,present,Democratic,,15,2011,
197,16th Ward,Matthew O'Shea,2011,present,Democratic,,16,2011,
206,17th Ward,Matthew O'Shea,2011,present,Democratic,,17,2011,
215,18th Ward,Matthew O'Shea,2011,present,Democratic,,18,2011,
224,19th Ward,Matthew O'Shea,2011,present,Democratic,,19,2011,
228,20th Ward,Daniel Solis,1996,2019,Democratic,,20,1996,2019.0
229,20th Ward,Byron Sigcho-Lopez,2019,present,Democratic,,20,2019,
233,21st Ward,Daniel Solis,1996,2019,Democratic,,21,1996,2019.0
234,21st Ward,Byron Sigcho-Lopez,2019,present,Democratic,,21,2019,
238,22nd Ward,Daniel Solis,1996,2019,Democratic,,22,1996,2019.0
239,22nd Ward,Byron Sigcho-Lopez,2019,present,Democratic,,22,2019,
243,23rd Ward,Daniel Solis,1996,2019,Democratic,,23,1996,2019.0
244,23rd Ward,Byron Sigcho-Lopez,2019,present,Democratic,,23,2019,
248,24th Ward,Daniel Solis,1996,2019,Democratic,,24,1996,2019.0
249,24th Ward,Byron Sigcho-Lopez,2019,present,Democratic,,24,2019,
253,25th Ward,Daniel Solis,1996,2019,Democratic,,25,1996,2019.0
254,25th Ward,Byron Sigcho-Lopez,2019,present,Democratic,,25,2019,
260,26th Ward,Roberto Maldonado,2009,present,Democratic,,26,2009,
266,27th Ward,Walter Burnett Jr.,May 1995,present,Democratic,,27,1995,
270,28th Ward,Ray Suarez,1991,May 2015,N/A,,28,1991,2015.0
271,28th Ward,Milly Santiago,May 2015,"May 20, 2019",N/A,,28,2015,2019.0
272,28th Ward,"Felix Cardona, Jr.","May 20, 2019",Present,N/A,,28,2019,
276,29th Ward,Ray Suarez,1991,May 2015,N/A,,29,1991,2015.0
277,29th Ward,Milly Santiago,May 2015,"May 20, 2019",N/A,,29,2015,2019.0
278,29th Ward,"Felix Cardona, Jr.","May 20, 2019",Present,N/A,,29,2019,
282,30th Ward,Ray Suarez,1991,May 2015,N/A,,30,1991,2015.0
283,30th Ward,Milly Santiago,May 2015,"May 20, 2019",N/A,,30,2015,2019.0
284,30th Ward,"Felix Cardona, Jr.","May 20, 2019",Present,N/A,,30,2019,
288,31st Ward,Ray Suarez,1991,May 2015,N/A,,31,1991,2015.0
289,31st Ward,Milly Santiago,May 2015,"May 20, 2019",N/A,,31,2015,2019.0
290,31st Ward,"Felix Cardona, Jr.","May 20, 2019",Present,N/A,,31,2019,
295,32nd Ward,Scott Waguespack,"May 20, 2007",present,Democratic,,32,2007,
301,33rd Ward,Timothy Cullerton,2011,2013,N/A,,33,2011,2013.0
302,33rd Ward,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,33,2013,
308,34th Ward,Timothy Cullerton,2011,2013,N/A,,34,2011,2013.0
309,34th Ward,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,34,2013,
315,35th Ward,Timothy Cullerton,2011,2013,N/A,,35,2011,2013.0
316,35th Ward,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,35,2013,
322,36th Ward,Timothy Cullerton,2011,2013,N/A,,36,2011,2013.0
323,36th Ward,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,36,2013,
329,37th Ward,Timothy Cullerton,2011,2013,N/A,,37,2011,2013.0
330,37th Ward,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,37,2013,
336,38th Ward,Timothy Cullerton,2011,2013,N/A,,38,2011,2013.0
337,38th Ward,Nicholas Sposato,2013,present,Democratic,Redistricted from 36th ward,38,2013,
341,39th Ward,Brendan Reilly,2007,Present,Democratic,,39,2007,
345,40th Ward,Brendan Reilly,2007,Present,Democratic,,40,2007,
349,41st Ward,Brendan Reilly,2007,Present,Democratic,,41,2007,
353,42nd Ward,Brendan Reilly,2007,Present,Democratic,,42,2007,
365,43rd Ward,Michele Smith,"May 16, 2011","August 12, 2022",Democratic,,43,2011,2022.0
366,43rd Ward,Timmy Knudsen,"September 21, 2022",Present,Democratic,,43,2022,
369,44th Ward,Ameya Pawar,"May 16, 2011","May 20, 2019",Democratic,,44,2011,2019.0
370,44th Ward,Matt Martin,"May 20, 2019",Present,N/A,,44,2019,
373,45th Ward,Ameya Pawar,"May 16, 2011","May 20, 2019",Democratic,,45,2011,2019.0
374,45th Ward,Matt Martin,"May 20, 2019",Present,N/A,,45,2019,
377,46th ward,Ameya Pawar,"May 16, 2011","May 20, 2019",Democratic,,46,2011,2019.0
378,46th ward,Matt Martin,"May 20, 2019",Present,N/A,,46,2019,
381,47th Ward,Ameya Pawar,"May 16, 2011","May 20, 2019",Democratic,,47,2011,2019.0
382,47th Ward,Matt Martin,"May 20, 2019",Present,N/A,,47,2019,
385,48th Ward,Joe Moore,1991,"May 20, 2019",Democratic,,48,1991,2019.0
386,48th Ward,Maria Hadden,"May 20, 2019",present,N/A,,48,2019,
389,49th Ward,Joe Moore,1991,"May 20, 2019",Democratic,,49,1991,2019.0
390,49th Ward,Maria Hadden,"May 20, 2019",present,N/A,,49,2019,
392,50th Ward,Debra Silverstein,2011,present,N/A,,50,2011,
